Position,index,PIE,YEAR,AGE,PLAYER,FP,MIN,PTS,FGM,FGA,DREB,TOV,REB,FTA,FTM,AST,OREB,GP,3PA,OFFRTG,TS%,AST%,REB%,FG%,AST/TO,NETRTG,Salary,PlayerGrade
Forward,2634,11.1,2019,33,Al Horford,30.6,30.8,12,4.8,10.9,5.3,1.1,6.9,1.2,0.9,4.1,1.5,60,4.4,109.5,52.6,18.5,11,44.2,3.75,3.5,28000000,topPayer
Forward,2928,13.4,2018,33,Al Horford,32.8,29,13.6,5.7,10.6,5,1.5,6.7,1.4,1.1,4.2,1.8,68,3,112.5,60.5,20.3,11.3,53.5,2.77,6.1,28928710,topPayer
Forward,3188,13.4,2017,32,Al Horford,32,31.6,12.9,5.1,10.5,5.9,1.8,7.4,1.7,1.3,4.7,1.4,72,3.1,108.9,57.5,22.5,11.5,48.9,2.57,7.3,27734405,topPayer
Forward,3700,13.7,2015,30,Al Horford,34.4,32.1,15.2,6.5,12.8,5.5,1.3,7.3,1.6,1.3,3.2,1.8,82,3.1,102.9,56.5,16.5,10.9,50.5,2.46,4.2,12000000,topPayer
Forward,3958,14.5,2014,29,Al Horford,33.9,30.5,15.2,6.8,12.7,5.4,1.3,7.2,1.9,1.4,3.2,1.7,76,0.5,107.5,56.3,17.8,12,53.8,2.44,6.7,12000000,topPayer
Forward,4209,15.3,2013,28,Al Horford,37.7,33,18.6,8.2,14.5,6.1,2.2,8.4,2.9,2,2.6,2.3,29,0.4,104.3,58.8,13.9,13.1,56.7,1.19,3.1,12000000,topPayer
Forward,4447,14.3,2012,27,Al Horford,38.9,37.2,17.4,7.8,14.3,7.6,2,10.2,2.8,1.8,3.2,2.6,74,0.1,105.8,56,14.9,14.4,54.3,1.63,3.2,12000000,topPayer
Forward,4682,13,2011,26,Al Horford,29.1,31.6,12.4,5.2,9.4,4.6,1.5,7,2.7,2,2.2,2.4,11,0.1,108.6,58.5,11.3,11.6,55.3,1.5,8.3,12000000,topPayer
Forward,4917,15,2010,25,Al Horford,35.5,35.1,15.3,6.7,12,7,1.5,9.3,2.4,1.9,3.5,2.4,77,0.1,105.9,58.7,16.9,14.2,55.7,2.24,0.7,5444857,good
Forward,5362,12.5,2008,23,Al Horford,31.5,33.5,11.5,4.7,8.9,7.1,1.5,9.3,3.1,2.2,2.4,2.2,67,0,107.1,56.5,11.9,14.7,52.5,1.58,0.6,4026720,good
Forward,5589,10.4,2007,22,Al Horford,27.4,31.4,10.1,4.1,8.2,6.6,1.7,9.7,2.6,1.9,1.5,3.1,81,0.1,104.6,53.9,7.8,16.2,49.9,0.91,-2.2,3745800,good
Forward,3199,13.2,2017,21,Ante Zizic,7.3,6.7,3.7,1.5,2.1,1.1,0.3,1.9,0.9,0.7,0.2,0.8,32,0,105.7,74.6,3.9,14.5,73.1,0.45,-9.1,1645200,aboveAvergae
Forward,2644,18.3,2019,27,Anthony Davis,52,34.3,26.7,9.2,18.1,7.1,2.5,9.4,8.3,7,3.1,2.3,55,3.5,112.3,61.4,14.8,13.1,51.1,1.27,6.7,27093019,topPayer
Forward,2939,19.7,2018,26,Anthony Davis,56.1,33,25.9,9.5,18.3,8.9,2,12,7.7,6.1,3.9,3.1,56,2.6,113.5,59.7,18.6,17,51.7,1.95,3.4,25434263,topPayer
Forward,3201,18.8,2017,25,Anthony Davis,55.1,36.4,28.1,10.4,19.5,8.6,2.2,11.1,8,6.6,2.3,2.5,75,2.2,109.2,61.2,10.4,14.6,53.4,1.07,5,23775506,topPayer
Forward,3467,19.2,2016,24,Anthony Davis,53.3,36.1,28,10.3,20.3,9.5,2.4,11.8,8.6,6.9,2.1,2.3,75,1.8,105.2,58,11,15.5,50.5,0.87,1.1,22116750,topPayer
Forward,3715,16.5,2015,23,Anthony Davis,47.5,35.5,24.3,9.2,18.6,8.1,2,10.3,7,5.3,1.9,2.1,61,1.8,103.7,55.9,10,14.5,49.3,0.96,-4.1,7070730,topPayer
Forward,3971,19.2,2014,22,Anthony Davis,51.8,36.1,24.4,9.4,17.6,7.7,1.4,10.2,6.8,5.5,2.2,2.5,68,0.2,109.9,59.1,10.9,14.4,53.5,1.57,6.1,5607240,topPayer
Forward,4223,16.4,2013,21,Anthony Davis,46,35.2,20.8,7.8,15,7,1.6,10,6.6,5.2,1.6,3.1,67,0.1,106.6,58.2,7.8,15,51.9,0.96,-2.1,5375760,good
Forward,4459,13.5,2012,20,Anthony Davis,32.2,28.8,13.5,5.5,10.6,5.6,1.4,8.2,3.5,2.6,1,2.6,64,0.1,104,55.9,6,15.2,51.6,0.71,-3.8,5144280,good
Forward,2646,6.1,2019,24,Anzejs Pasecniks,13.6,16.9,6,2.3,4.4,2.5,0.9,4.1,2.3,1.3,0.7,1.6,24,0.1,109.3,55.5,5.9,11.6,52.8,0.77,0.4,482144,belowAverage
Forward,2647,9.4,2019,33,Aron Baynes,21.8,22.2,11.5,4.4,9.1,4,1.2,5.6,1.8,1.3,1.6,1.7,42,4,110.2,58.1,10.8,12.6,48,1.34,-1.5,5453280,good
Forward,2941,8.3,2018,32,Aron Baynes,14.8,16.1,5.6,2.1,4.4,3,0.8,4.7,1.2,1,1.1,1.7,51,1.2,110,56.7,9.2,13.9,47.1,1.43,7.7,5193600,good
Forward,3470,8.5,2016,30,Aron Baynes,12.4,15.5,4.9,1.9,3.7,3,0.7,4.4,1.3,1.1,0.4,1.5,75,0,103,57,3.9,13.8,51.3,0.64,5.9,6500000,topPayer
Forward,3717,11.2,2015,29,Aron Baynes,14.9,15.2,6.3,2.4,4.7,3,0.8,4.7,2,1.6,0.6,1.7,81,0,101,56.3,7,15.2,50.5,0.76,-3.4,6500000,topPayer
Forward,3974,10.6,2014,28,Aron Baynes,13.5,16,6.6,2.6,4.7,3,0.9,4.5,1.5,1.3,0.5,1.6,70,0.1,104.3,61.8,4.9,14.1,56.6,0.54,6.8,2100000,aboveAvergae
Forward,4228,6.1,2013,27,Aron Baynes,7,9.3,3,1.3,3.1,1.7,0.7,2.7,0.4,0.4,0.6,1.1,53,0,106,46.7,10.3,15.2,43.6,0.94,3.3,788872,belowAverage
Forward,4463,4.2,2012,26,Aron Baynes,6.2,8.8,2.7,1.1,2.3,1.3,0.7,2,0.8,0.4,0.3,0.8,16,0.1,98,52.1,5.3,11.1,50,0.45,0.9,239588,belowAverage
Forward,2649,14.9,2019,22,Bam Adebayo,41.2,34.4,16.2,6.3,11.1,8,2.8,10.5,5.3,3.6,5.1,2.5,65,0.2,112.3,60.6,23.2,15.4,56.7,1.8,4.6,3454080,good
Forward,2943,13.3,2018,21,Bam Adebayo,24.5,23.3,8.9,3.4,5.9,5.3,1.5,7.3,2.8,2,2.2,2,82,0.2,105,62.3,14.6,15.1,57.6,1.52,0.5,2955840,good
