PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,YEAR
Anthony Davis,LAL,27,55,43,12,34.3,26.7,9.2,18.1,51.1,1.2,3.5,33.5,7.0,8.3,84.5,2.3,7.1,9.4,3.1,2.5,1.5,2.4,2.5,52.0,27,0,5.2,2019
Anthony Davis,LAL,27,55,43,12,34.3,26.7,9.2,18.1,51.1,1.2,3.5,33.5,7.0,8.3,84.5,2.3,7.1,9.4,3.1,2.5,1.5,2.4,2.5,52.0,27,0,5.2,2019
Karl-Anthony Towns,MIN,24,35,10,25,33.9,26.5,9.0,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24,0,-0.4,2019
Joel Embiid,PHI,26,44,28,16,30.2,23.4,7.5,15.9,47.4,1.3,3.7,34.8,7.1,8.7,81.4,2.8,9.0,11.8,3.1,3.1,0.9,1.3,3.4,45.8,34,0,3.0,2019
Nikola Jokic,DEN,25,65,43,22,32.3,20.2,7.9,14.9,52.8,1.1,3.5,31.4,3.4,4.1,81.3,2.4,7.8,10.2,6.9,3.1,1.2,0.7,3.1,45.2,39,12,3.8,2019
Julius Randle,NYK,25,64,21,43,32.5,19.5,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,3.0,0.8,0.3,2.8,36.2,30,0,-3.8,2019
Nikola Vucevic,ORL,29,54,25,29,32.6,19.5,7.9,16.9,47.0,1.5,4.6,32.9,2.1,2.7,78.1,2.4,8.6,11.0,3.7,1.4,0.9,0.9,2.2,42.1,36,0,0.1,2019
Kristaps Porzingis,DAL,24,51,30,21,31.3,19.2,6.6,15.8,42.0,2.5,7.1,34.9,3.5,4.5,77.6,1.7,7.7,9.5,1.7,1.6,0.7,2.1,3.1,39.9,23,0,5.8,2019
Deandre Ayton,PHX,21,30,12,18,33.2,19.0,8.5,15.5,54.8,0.0,0.1,0.0,2.0,2.6,76.9,4.1,7.9,12.0,1.9,2.4,0.7,1.7,3.2,41.2,20,0,1.2,2019
LaMarcus Aldridge,SAS,34,53,23,30,33.1,18.9,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,1.4,0.7,1.6,2.4,37.0,14,0,-2.4,2019
Montrezl Harrell,LAC,26,63,44,19,27.8,18.6,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,33.2,12,0,4.0,2019
Domantas Sabonis,IND,23,62,37,25,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,2.7,0.8,0.5,3.1,41.9,50,4,2.6,2019
Andre Drummond,CLE,26,57,21,36,33.0,17.7,7.3,13.8,53.3,0.1,0.6,14.3,3.0,5.2,57.5,4.4,10.8,15.2,2.7,3.6,1.9,1.6,3.5,47.0,47,0,-3.4,2019
Kevin Love,CLE,31,56,16,40,31.8,17.6,5.8,13.0,45.0,2.6,7.0,37.4,3.3,3.9,85.4,1.0,8.8,9.8,3.2,2.5,0.6,0.3,1.6,34.4,23,0,-4.8,2019
Jaren Jackson Jr.,MEM,20,54,28,26,28.0,16.9,6.1,13.0,46.8,2.5,6.3,39.7,2.3,3.1,74.1,1.0,3.7,4.7,1.4,1.7,0.7,1.6,4.1,29.8,3,0,-2.1,2019
Hassan Whiteside,POR,30,61,29,32,31.3,16.3,6.9,11.1,61.8,0.1,0.1,57.1,2.5,3.7,68.0,4.0,10.2,14.2,1.2,1.9,0.4,3.1,2.9,43.7,51,0,1.5,2019
Bam Adebayo,MIA,22,65,41,24,34.4,16.2,6.3,11.1,56.7,0.0,0.2,7.7,3.6,5.3,69.0,2.5,8.0,10.5,5.1,2.8,1.2,1.3,2.5,41.2,39,3,3.2,2019
Rudy Gobert,UTA,27,62,40,22,34.6,15.1,5.7,8.2,69.8,0.0,0.0,0.0,3.7,5.9,62.1,3.4,10.3,13.7,1.5,1.9,0.8,2.0,3.2,40.1,45,0,4.4,2019
Jonas Valanciunas,MEM,27,62,30,32,26.3,14.9,6.2,10.6,58.6,0.5,1.3,36.7,2.0,2.7,73.2,3.1,8.2,11.2,1.8,1.7,0.4,1.1,2.6,33.8,33,0,0.1,2019
Lauri Markkanen,CHI,22,50,18,32,29.8,14.7,5.0,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,1.2,5.1,6.3,1.5,1.6,0.8,0.5,1.9,26.8,3,0,-1.4,2019
Clint Capela,ATL,25,39,22,17,32.8,13.9,6.3,9.9,62.9,0.0,0.0,0.0,1.4,2.7,52.9,4.3,9.5,13.8,1.2,1.6,0.8,1.8,2.6,38.8,27,0,1.5,2019
Thomas Bryant,WAS,22,38,14,24,23.7,12.1,4.8,8.1,59.9,0.6,1.4,40.7,1.8,2.5,73.7,2.0,4.9,6.8,1.9,1.3,0.4,0.9,2.2,25.6,8,0,-3.6,2019
Al Horford,PHI,33,60,35,25,30.8,12.0,4.8,10.9,44.2,1.5,4.4,33.7,0.9,1.2,75.3,1.5,5.3,6.9,4.1,1.1,0.9,0.9,2.1,30.6,6,0,2.0,2019
Tristan Thompson,CLE,29,57,19,38,30.2,12.0,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,4.0,6.2,10.1,2.1,1.8,0.6,0.9,2.2,29.9,25,0,-6.6,2019
Myles Turner,IND,24,55,32,23,29.6,11.8,4.2,9.4,45.1,1.4,4.2,33.6,2.0,2.6,75.0,1.3,5.3,6.5,1.1,1.2,0.8,2.2,2.5,29.0,8,0,0.3,2019
Aron Baynes,PHX,33,42,19,23,22.2,11.5,4.4,9.1,48.0,1.4,4.0,35.1,1.3,1.8,74.7,1.7,4.0,5.6,1.6,1.2,0.2,0.5,3.4,21.8,3,0,-1.1,2019
Wendell Carter Jr.,CHI,20,43,15,28,29.2,11.3,4.3,8.0,53.4,0.1,0.7,20.7,2.6,3.5,73.7,3.2,6.2,9.4,1.2,1.7,0.8,0.8,3.8,27.5,17,0,-0.7,2019
Cody Zeller,CHA,27,58,18,40,23.1,11.1,4.3,8.3,52.4,0.3,1.3,24.0,2.1,3.1,68.2,2.8,4.3,7.1,1.5,1.3,0.7,0.4,2.4,23.9,10,0,-3.8,2019
Frank Kaminsky,PHX,27,32,12,20,22.4,11.0,4.0,8.7,45.5,1.2,3.5,34.8,1.8,2.8,67.0,0.9,4.0,4.9,2.2,1.0,0.4,0.3,2.2,21.4,1,0,-1.0,2019
