PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Al Horford,PHI,33,60,35,25,30.8,109.5,106.0,3.5,18.5,3.75,24.5,5.0,17.0,11.0,6.5,51.0,52.6,17.4,100.26,11.1,2019
Al Horford,PHI,33,60,35,25,30.8,109.5,106.0,3.5,18.5,3.75,24.5,5.0,17.0,11.0,6.5,51.0,52.6,17.4,100.26,11.1,2019
Alex Len,SAC,26,49,15,34,18.3,101.9,107.5,-5.6,8.5,0.94,10.7,9.6,19.5,14.6,11.4,57.9,59.6,17.8,104.67,12.0,2019
Andre Drummond,CLE,26,57,21,36,33.0,107.0,112.0,-5.0,13.3,0.75,12.0,12.9,33.6,22.9,16.0,53.6,55.3,25.3,98.80,15.3,2019
Ante Zizic,CLE,23,22,4,18,10.0,114.2,112.9,1.3,3.8,0.60,6.3,8.4,21.1,14.9,10.5,56.9,59.7,16.8,101.71,10.1,2019
Anthony Davis,LAL,27,55,43,12,34.3,112.3,105.6,6.7,14.8,1.27,11.6,6.4,19.7,13.1,9.1,54.4,61.4,28.7,102.61,18.3,2019
Anzejs Pasecniks,WAS,24,24,9,15,16.9,109.3,108.9,0.4,5.9,0.77,10.1,8.5,15.1,11.6,13.1,52.8,55.5,15.1,103.88,6.1,2019
Aron Baynes,PHX,33,42,19,23,22.2,110.2,111.7,-1.5,10.8,1.34,12.7,7.5,17.8,12.6,9.5,55.8,58.1,20.5,103.02,9.4,2019
Bam Adebayo,MIA,22,65,41,24,34.4,112.3,107.7,4.6,23.2,1.80,24.0,7.8,22.4,15.4,13.3,56.8,60.6,20.8,98.22,14.9,2019
Bismack Biyombo,CHA,27,53,18,35,19.4,104.1,110.8,-6.6,7.9,1.04,11.2,11.2,17.8,14.5,10.8,54.3,57.0,16.8,96.39,9.7,2019
Boban Marjanovic,DAL,31,37,19,18,9.1,117.6,109.0,8.6,5.9,0.50,5.6,15.6,28.4,22.1,11.2,56.6,59.9,26.4,101.43,15.1,2019
Brook Lopez,MIL,32,61,50,11,26.6,111.9,99.5,12.4,7.6,1.51,12.1,2.5,11.9,7.5,8.1,50.1,53.7,17.3,106.70,8.2,2019
Bruno Fernando,ATL,21,56,18,38,12.7,102.0,107.6,-5.6,10.1,1.17,15.8,8.5,17.9,13.1,13.5,53.0,54.2,14.7,103.78,7.9,2019
Cheick Diallo,PHX,23,44,17,27,10.6,104.5,109.0,-4.6,7.7,0.73,10.7,6.0,21.2,13.6,14.6,65.3,68.8,16.6,101.88,12.1,2019
Chimezie Metu,SAS,23,16,7,9,4.5,102.5,100.0,2.5,14.0,1.20,12.0,12.5,21.6,16.9,10.0,57.1,59.7,23.8,101.92,18.6,2019
Chris Boucher,TOR,27,55,39,16,13.2,108.3,102.9,5.4,4.9,1.00,6.6,12.0,18.2,15.1,6.6,51.2,57.0,18.3,102.17,12.3,2019
Clint Capela,ATL,25,39,22,17,32.8,110.0,107.4,2.5,5.6,0.76,8.8,11.8,26.5,19.1,11.6,62.9,62.6,15.6,104.64,14.3,2019
Cody Zeller,CHA,27,58,18,40,23.1,105.3,113.6,-8.3,11.1,1.17,12.3,11.0,19.7,15.1,10.5,54.3,57.6,20.1,97.50,11.4,2019
Cristiano Felicio,CHI,27,22,6,16,17.5,111.1,118.8,-7.7,5.3,0.89,16.3,14.4,13.9,14.2,18.4,63.0,67.1,8.8,99.68,6.7,2019
Damian Jones,ATL,24,55,15,40,16.1,104.7,117.3,-12.6,5.7,1.25,12.5,8.0,15.3,11.5,10.0,68.5,71.2,11.3,104.69,8.0,2019
Daniel Gafford,CHI,21,43,15,28,14.2,102.6,104.5,-1.9,5.1,0.72,10.0,8.1,9.2,8.7,13.7,70.1,68.6,13.1,102.14,7.6,2019
Daniel Theis,BOS,28,58,37,21,23.8,111.8,104.1,7.7,10.0,1.98,16.7,9.0,17.2,13.1,8.4,59.9,62.9,14.6,100.09,10.7,2019
DeAndre Jordan,BKN,31,56,27,29,22.0,104.0,105.8,-1.8,13.2,1.42,20.3,10.5,29.3,20.2,14.3,66.6,68.2,13.6,102.91,16.8,2019
Dean Wade,CLE,23,12,1,11,6.0,107.0,113.5,-6.5,3.9,0.67,11.1,3.8,21.3,12.3,16.7,76.9,74.4,9.1,105.19,8.9,2019
Deandre Ayton,PHX,21,30,12,18,33.2,110.5,108.4,2.2,9.3,0.80,9.1,12.4,22.9,17.7,11.3,54.8,57.1,23.7,102.26,14.1,2019
Dewan Hernandez,TOR,23,4,4,0,2.8,107.7,108.0,-0.3,0.0,0.00,0.0,20.0,33.3,28.0,14.3,20.0,34.0,23.3,107.84,0.0,2019
Dewayne Dedmon,ATL,30,44,17,27,17.6,107.4,108.1,-0.7,4.1,0.39,6.3,7.5,24.1,15.7,16.4,44.3,47.3,17.9,100.29,6.5,2019
Domantas Sabonis,IND,23,62,37,25,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6,2019
Drew Eubanks,SAS,23,14,8,6,9.3,104.6,119.7,-15.1,6.0,0.50,10.4,6.3,20.9,13.6,20.8,76.8,77.6,14.0,104.53,8.8,2019
Dwight Howard,LAL,34,62,49,13,19.2,112.8,106.0,6.8,4.8,0.58,9.4,12.7,25.0,18.8,16.3,73.7,69.6,14.3,99.37,11.4,2019
Dwight Powell,DAL,28,40,25,15,26.5,116.3,107.4,8.9,7.6,1.64,15.8,7.1,13.2,10.2,9.7,65.9,67.7,12.6,99.41,9.4,2019
Ed Davis,UTA,30,25,15,10,10.7,94.4,108.2,-13.8,4.5,0.62,13.3,10.2,24.0,17.0,21.7,41.2,42.5,8.4,100.04,4.8,2019
Enes Kanter,BOS,27,51,32,19,17.5,112.0,103.7,8.3,8.2,0.94,10.9,15.0,26.6,20.9,11.6,56.8,59.4,18.5,100.18,15.5,2019
Eric Mika,SAC,25,1,0,1,19.0,122.0,102.4,19.5,0.0,0.00,0.0,11.1,26.3,18.9,0.0,66.7,77.3,8.9,103.35,7.7,2019
