PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Aaron Gordon,ORL,24,58,28,30,33.0,108.2,110.1,-2.0,16.4,2.29,19.2,5.1,17.5,11.2,8.4,47.9,51.1,20.3,99.58,10.1,2019
Aaron Gordon,ORL,24,58,28,30,33.0,108.2,110.1,-2.0,16.4,2.29,19.2,5.1,17.5,11.2,8.4,47.9,51.1,20.3,99.58,10.1,2019
Abdel Nader,OKC,26,48,33,15,15.8,100.6,103.9,-3.4,7.0,0.97,11.1,1.8,9.5,5.7,11.4,54.3,58.0,16.0,101.80,7.1,2019
Admiral Schofield,WAS,23,27,9,18,10.8,104.1,109.0,-4.9,6.8,2.00,13.7,1.8,9.2,5.4,6.9,49.3,51.4,12.3,103.31,3.7,2019
Al Horford,PHI,33,60,35,25,30.8,109.5,106.0,3.5,18.5,3.75,24.5,5.0,17.0,11.0,6.5,51.0,52.6,17.4,100.26,11.1,2019
Al-Farouq Aminu,ORL,29,18,7,11,21.1,94.7,100.1,-5.4,8.8,1.24,15.2,5.3,15.8,10.2,12.3,34.3,39.5,12.7,100.15,6.3,2019
Alen Smailagic,GSW,19,14,1,13,9.9,106.2,109.2,-3.0,13.3,1.18,18.1,7.7,11.0,9.5,15.3,53.8,61.0,17.5,104.89,8.9,2019
Alfonzo McKinnie,CLE,27,40,11,29,14.8,105.6,113.0,-7.4,3.2,0.54,6.2,6.1,13.1,9.5,11.6,46.8,49.3,14.7,101.43,4.7,2019
Alize Johnson,IND,23,13,8,5,4.1,115.8,111.1,4.7,4.5,0.67,9.1,11.9,20.4,15.9,13.6,46.7,51.0,14.2,105.97,6.5,2019
Allen Crabbe,MIN,27,37,5,32,17.6,97.5,112.5,-15.0,7.3,1.94,14.2,1.4,9.8,5.3,7.3,45.8,47.0,12.2,106.22,4.3,2019
Amile Jefferson,ORL,26,18,5,13,4.1,96.9,88.4,8.5,7.8,1.33,14.3,11.2,16.3,13.6,10.7,35.7,37.2,12.9,101.71,5.1,2019
Amir Coffey,LAC,22,13,7,6,7.5,106.5,109.8,-3.2,13.2,3.00,19.6,4.1,9.6,6.9,6.5,40.9,40.8,15.4,105.34,3.4,2019
Andre Iguodala,MIA,36,14,7,7,18.5,103.3,106.4,-3.1,16.6,1.65,28.3,3.7,14.2,9.3,17.2,57.8,55.9,11.4,105.69,7.8,2019
Andrew Wiggins,GSW,25,54,15,39,34.4,107.7,112.8,-5.1,18.0,1.50,13.9,3.3,11.0,7.0,9.3,50.4,53.6,26.9,103.46,10.4,2019
Anthony Davis,LAL,27,55,43,12,34.3,112.3,105.6,6.7,14.8,1.27,11.6,6.4,19.7,13.1,9.1,54.4,61.4,28.7,102.61,18.3,2019
Anthony Tolliver,MEM,34,47,22,25,15.6,105.8,113.0,-7.2,6.0,1.10,14.4,3.7,13.3,8.3,13.1,47.4,49.7,11.0,103.47,4.5,2019
Anzejs Pasecniks,WAS,24,24,9,15,16.9,109.3,108.9,0.4,5.9,0.77,10.1,8.5,15.1,11.6,13.1,52.8,55.5,15.1,103.88,6.1,2019
Aron Baynes,PHX,33,42,19,23,22.2,110.2,111.7,-1.5,10.8,1.34,12.7,7.5,17.8,12.6,9.5,55.8,58.1,20.5,103.02,9.4,2019
BJ Johnson,ORL,24,8,4,4,5.8,75.7,100.0,-24.3,9.5,0.67,8.3,1.7,9.3,5.3,12.5,30.6,34.4,18.2,109.49,4.8,2019
Bam Adebayo,MIA,22,65,41,24,34.4,112.3,107.7,4.6,23.2,1.80,24.0,7.8,22.4,15.4,13.3,56.8,60.6,20.8,98.22,14.9,2019
Ben Simmons,PHI,23,54,33,21,35.7,109.1,106.9,2.2,34.0,2.30,32.0,5.4,15.8,10.6,13.9,58.7,60.8,20.5,100.98,14.5,2019
Blake Griffin,DET,31,18,8,10,28.5,109.3,111.9,-2.6,18.4,1.48,15.1,3.2,12.8,7.9,10.3,40.6,47.6,27.7,98.24,8.4,2019
Bobby Portis,NYK,25,66,21,45,21.1,102.3,110.2,-7.9,11.2,1.34,12.3,5.3,18.0,11.4,9.1,50.7,53.0,20.7,101.25,10.8,2019
Bojan Bogdanovic,UTA,30,63,41,22,33.1,113.5,108.0,5.5,9.9,0.82,9.8,2.0,10.0,6.2,11.9,54.8,60.3,25.2,99.45,10.5,2019
Brandon Clarke,MEM,23,50,27,23,21.7,108.2,107.1,1.1,9.7,1.57,12.8,6.9,17.7,12.5,8.2,64.8,67.0,18.3,106.01,14.4,2019
Brandon Ingram,NOP,22,56,23,33,34.3,110.7,111.1,-0.3,19.5,1.39,15.5,2.4,14.4,8.5,11.2,53.4,59.0,27.6,104.91,13.2,2019
