PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,YEAR
Aaron Holiday,IND,23,58,36,22,23.6,109.4,107.4,1.9,19.1,2.57,24.3,1.5,7.6,4.6,9.4,48.8,51.7,18.8,100.09,7.7,2019
Aaron Holiday,IND,23,58,36,22,23.6,109.4,107.4,1.9,19.1,2.57,24.3,1.5,7.6,4.6,9.4,48.8,51.7,18.8,100.09,7.7,2019
Adam Mokoka,CHI,21,11,3,8,10.2,121.4,104.4,17.1,4.3,2.00,11.4,5.7,2.9,4.4,5.7,53.6,53.8,11.0,100.37,2.3,2019
Admiral Schofield,WAS,23,27,9,18,10.8,104.1,109.0,-4.9,6.8,2.00,13.7,1.8,9.2,5.4,6.9,49.3,51.4,12.3,103.31,3.7,2019
Alec Burks,PHI,28,59,17,42,27.3,102.1,110.4,-8.3,17.8,2.01,16.1,2.5,13.4,7.7,8.0,47.5,54.9,23.0,101.96,11.4,2019
Alex Caruso,LAL,26,58,45,13,17.8,110.6,100.3,10.3,12.8,2.22,23.1,1.4,8.8,5.2,10.4,49.6,53.8,13.6,102.86,7.5,2019
Allen Crabbe,MIN,27,37,5,32,17.6,97.5,112.5,-15.0,7.3,1.94,14.2,1.4,9.8,5.3,7.3,45.8,47.0,12.2,106.22,4.3,2019
Allonzo Trier,NYK,24,24,2,22,12.1,100.0,111.1,-11.1,16.4,1.27,15.9,1.8,7.8,4.6,12.5,57.1,62.0,20.8,102.19,9.2,2019
Amir Coffey,LAC,22,13,7,6,7.5,106.5,109.8,-3.2,13.2,3.00,19.6,4.1,9.6,6.9,6.5,40.9,40.8,15.4,105.34,3.4,2019
Andre Iguodala,MIA,36,14,7,7,18.5,103.3,106.4,-3.1,16.6,1.65,28.3,3.7,14.2,9.3,17.2,57.8,55.9,11.4,105.69,7.8,2019
Anfernee Simons,POR,20,65,28,37,21.5,105.6,114.1,-8.6,10.0,1.56,13.2,1.6,7.9,4.7,8.5,47.2,50.6,18.3,103.08,5.7,2019
Antonius Cleveland,DAL,26,6,4,2,3.7,97.9,123.9,-26.0,0.0,0.00,0.0,0.0,25.0,7.7,12.5,33.3,36.3,14.3,99.87,1.6,2019
Austin Rivers,HOU,27,60,39,21,23.4,114.4,110.3,4.1,9.3,2.74,16.0,1.6,7.9,4.7,5.8,51.7,53.8,14.6,105.32,6.0,2019
Avery Bradley,LAL,29,49,36,13,24.2,111.3,104.0,7.4,7.0,1.34,12.5,1.5,7.7,4.7,9.3,52.6,53.7,15.3,103.08,5.5,2019
Ben McLemore,HOU,27,63,40,23,22.8,116.0,109.4,6.7,5.1,1.17,9.0,1.3,7.7,4.5,7.7,60.9,62.2,15.4,104.61,6.5,2019
Ben Simmons,PHI,23,54,33,21,35.7,109.1,106.9,2.2,34.0,2.30,32.0,5.4,15.8,10.6,13.9,58.7,60.8,20.5,100.98,14.5,2019
Bogdan Bogdanovic,SAC,27,53,26,27,28.5,108.1,110.3,-2.2,18.0,1.90,18.0,1.1,10.3,5.6,9.5,54.1,56.0,22.0,98.58,9.8,2019
Brad Wanamaker,BOS,30,63,43,20,19.3,107.7,104.8,2.9,18.4,2.26,26.4,1.5,7.9,4.8,11.7,48.0,56.0,15.2,101.20,8.1,2019
Bradley Beal,WAS,26,57,20,37,36.0,113.1,117.6,-4.5,28.5,1.79,17.1,2.4,9.5,5.8,9.5,52.0,57.9,33.8,103.64,14.3,2019
Brandon Clarke,MEM,23,50,27,23,21.7,108.2,107.1,1.1,9.7,1.57,12.8,6.9,17.7,12.5,8.2,64.8,67.0,18.3,106.01,14.4,2019
Brandon Goodwin,ATL,24,34,13,21,12.7,94.5,108.2,-13.8,20.8,1.76,18.0,2.3,13.2,7.6,10.2,46.8,50.7,22.0,104.54,9.4,2019
Brandon Knight,DET,28,25,4,21,18.5,108.8,116.4,-7.6,21.6,1.82,23.8,0.9,9.3,4.7,13.1,48.8,50.3,20.7,98.80,5.2,2019
Brian Bowen II,IND,21,5,4,1,5.8,111.7,93.1,18.6,0.0,0.00,0.0,3.3,18.2,11.1,10.0,22.2,22.2,13.9,98.33,0.9,2019
Bruce Brown,DET,23,58,18,40,28.2,106.0,110.4,-4.3,20.8,2.30,27.7,3.8,13.1,8.4,12.0,48.0,51.8,15.9,98.00,8.3,2019
Bryn Forbes,SAS,26,63,27,36,25.1,108.0,114.8,-6.8,9.7,1.89,13.9,0.7,7.1,3.9,7.3,54.4,57.0,18.5,100.41,6.4,2019
Buddy Hield,SAC,27,64,28,36,32.0,109.0,111.0,-2.0,15.4,1.31,13.5,2.7,12.4,7.4,10.3,54.4,56.6,26.1,100.46,10.6,2019
CJ McCollum,POR,28,62,28,34,36.0,113.0,112.2,0.8,18.6,2.31,16.1,1.7,8.6,5.3,7.0,52.5,54.3,26.3,101.48,10.5,2019
CJ Miles,WAS,33,10,4,6,16.1,112.3,113.6,-1.3,9.1,3.00,14.6,2.1,5.0,3.4,4.9,41.5,47.2,16.9,109.54,4.8,2019
Cam Reddish,ATL,20,58,17,41,26.7,106.9,113.2,-6.3,7.9,0.91,11.0,2.1,11.0,6.5,12.1,45.9,50.0,18.5,105.58,5.9,2019
Caris LeVert,BKN,25,39,18,21,29.0,108.4,108.5,-0.1,22.9,1.62,17.0,3.2,9.5,6.4,10.5,47.3,50.9,27.7,102.85,10.5,2019
Carsen Edwards,BOS,22,35,24,11,9.0,93.0,99.4,-6.4,11.6,1.47,14.2,1.6,10.8,5.9,9.7,42.0,44.6,16.8,105.05,5.1,2019
Chandler Hutchison,CHI,23,28,8,20,18.8,97.0,108.9,-11.9,7.7,0.96,9.9,3.2,18.0,10.1,10.3,49.1,52.1,18.3,105.15,8.6,2019
Charles Brown Jr.,ATL,23,10,1,9,4.0,106.9,73.0,33.9,7.7,0.67,7.7,4.0,4.8,4.3,11.5,39.5,47.2,23.1,104.41,7.8,2019
Chasson Randle,GSW,27,3,2,1,13.5,110.3,112.4,-2.0,16.1,0.00,41.7,0.0,5.3,2.7,0.0,0.0,37.7,8.0,104.54,3.4,2019
Chris Chiozza,BKN,24,21,9,12,11.8,103.7,93.5,10.2,28.9,2.82,33.1,2.1,11.1,6.4,11.7,51.9,52.6,15.7,104.72,10.8,2019
Chris Clemons,HOU,22,29,18,11,8.7,101.1,107.9,-6.8,15.0,1.29,13.1,1.1,7.1,4.1,10.1,53.6,54.6,23.9,105.82,8.1,2019
Chris Paul,OKC,34,63,40,23,31.8,114.4,107.6,6.8,31.8,3.11,28.8,1.1,14.1,7.8,9.3,55.2,60.9,22.6,100.44,15.1,2019
Coby White,CHI,20,65,22,43,25.8,104.4,108.8,-4.4,16.2,1.61,15.5,1.5,12.8,6.7,9.7,47.8,50.6,23.5,102.51,8.7,2019
Collin Sexton,CLE,21,65,19,46,33.0,107.8,117.0,-9.2,14.6,1.22,12.4,2.8,6.9,4.8,10.2,51.7,56.0,26.4,100.37,9.5,2019
Cory Joseph,SAC,28,64,28,36,24.0,107.2,107.6,-0.4,19.9,3.41,32.3,2.4,8.3,5.3,9.5,48.4,51.3,12.8,99.35,7.0,2019
Courtney Lee,DAL,34,24,15,9,14.4,116.8,110.1,6.7,4.4,1.09,11.2,1.9,7.0,4.4,10.3,61.6,62.9,11.6,101.35,5.2,2019
